"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2012","83.13","83.13","83.13","83.13","-","-0.87%"
"Aug 10, 2012","83.86","83.86","83.86","83.86","-","0.00%"
"Aug 09, 2012","83.86","83.86","83.86","83.86","-","0.26%"
"Aug 08, 2012","83.64","83.64","83.64","83.64","-","0.22%"
"Aug 07, 2012","83.46","83.46","83.46","83.46","-","-0.27%"
"Aug 03, 2012","83.69","83.69","83.69","83.69","-","0.86%"
"Aug 02, 2012","82.98","82.98","82.98","82.98","-","-0.04%"
"Aug 01, 2012","83.01","83.01","83.01","83.01","-","-0.30%"
"Jul 31, 2012","83.26","83.26","83.26","83.26","-","-0.90%"
"Jul 30, 2012","84.02","84.02","84.02","84.02","-","-0.36%"
"Jul 27, 2012","84.32","84.32","84.32","84.32","-","-0.04%"
"Jul 26, 2012","84.35","84.35","84.35","84.35","-","-0.37%"
"Jul 25, 2012","84.66","84.66","84.66","84.66","-","0.97%"
"Jul 24, 2012","83.85","83.85","83.85","83.85","-","0.00%"
"Jul 23, 2012","83.85","83.85","83.85","83.85","-","0.71%"
"Jul 19, 2012","83.26","83.26","83.26","83.26","-","0.92%"
"Jul 18, 2012","82.50","82.50","82.50","82.50","-","0.94%"
"Jul 17, 2012","81.73","81.73","81.73","81.73","-","-0.13%"
"Jul 16, 2012","81.84","81.84","81.84","81.84","-","0.16%"
"Jul 13, 2012","81.71","81.71","81.71","81.71","-","-0.70%"
"Jul 12, 2012","82.29","82.29","82.29","82.29","-","0.15%"
"Jul 11, 2012","82.17","82.17","82.17","82.17","-","0.07%"
"Jul 10, 2012","82.11","82.11","82.11","82.11","-","-0.09%"
"Jul 09, 2012","82.18","82.18","82.18","82.18","-","-0.16%"
"Jul 06, 2012","82.31","82.31","82.31","82.31","-","-0.19%"
"Jul 05, 2012","82.47","82.47","82.47","82.47","-","0.18%"
"Jul 04, 2012","82.32","82.32","82.32","82.32","-","-0.23%"
"Jul 03, 2012","82.51","82.51","82.51","82.51","-","0.87%"
"Jul 02, 2012","81.80","81.80","81.80","81.80","-","1.30%"
"Jun 29, 2012","80.75","80.75","80.75","80.75","-","0.31%"
"Jun 28, 2012","80.50","80.50","80.50","80.50","-","-0.37%"
"Jun 27, 2012","80.80","80.80","80.80","80.80","-","-0.41%"
"Jun 26, 2012","81.13","81.13","81.13","81.13","-","0.28%"
"Jun 25, 2012","80.90","80.90","80.90","80.90","-","-0.31%"
"Jun 22, 2012","81.15","81.15","81.15","81.15","-","0.40%"
"Jun 21, 2012","80.83","80.83","80.83","80.83","-","-0.14%"
"Jun 20, 2012","80.94","80.94","80.94","80.94","-","0.95%"
"Jun 19, 2012","80.18","80.18","80.18","80.18","-","0.44%"
"Jun 18, 2012","79.83","79.83","79.83","79.83","-","0.01%"
"Jun 15, 2012","79.82","79.82","79.82","79.82","-","0.52%"
"Jun 14, 2012","79.41","79.41","79.41","79.41","-","0.30%"
"Jun 13, 2012","79.17","79.17","79.17","79.17","-","0.29%"
"Jun 12, 2012","78.94","78.94","78.94","78.94","-","0.65%"
"Jun 11, 2012","78.43","78.43","78.43","78.43","-","-0.24%"
"Jun 08, 2012","78.62","78.62","78.62","78.62","-","0.00%"
"Jun 07, 2012","78.62","78.62","78.62","78.62","-","0.55%"
"Jun 06, 2012","78.19","78.19","78.19","78.19","-","0.04%"
"Jun 05, 2012","78.16","78.16","78.16","78.16","-","-0.06%"
"Jun 04, 2012","78.21","78.21","78.21","78.21","-","-0.34%"
"May 31, 2012","78.48","78.48","78.48","78.48","-","0.42%"
"May 30, 2012","78.15","78.15","78.15","78.15","-","-0.06%"
"May 29, 2012","78.20","78.20","78.20","78.20","-","-0.26%"
"May 28, 2012","78.40","78.40","78.40","78.40","-","0.19%"
"May 25, 2012","78.25","78.25","78.25","78.25","-","-0.69%"
"May 24, 2012","78.79","78.79","78.79","78.79","-","-0.44%"
"May 23, 2012","79.14","79.14","79.14","79.14","-","-0.47%"
"May 22, 2012","79.51","79.51","79.51","79.51","-","-0.75%"
"May 21, 2012","80.11","80.11","80.11","80.11","-","0.02%"
"May 18, 2012","80.09","80.09","80.09","80.09","-","0.23%"
